gender,degree,born,Family_income,nation_race,nation_welfare,Assistance_to_the_poor,social_security,natcrime,natdrug,Immigration,relig,religinf,opsex,homo_marriage,abortion,age_group,race
Female,High School,Yes,NA,Too little,About right,NA,Too little,Too little,1,Agree,Catholic,Disagree,NA,Strongly agree,NA,60-69 years old,White
Female,High School,Yes,"$20,000 ~ $39,999",Too little,NA,NA,Too little,Too little,1,NA,Christian,Disagree,Very important,Agree,NA,70-79 years old,Black
Female,Bachelors,Yes,"$60,000 ~ $89,999",About right,Too much,NA,Too little,Too little,2,Neither,Christian,Neither,NA,Strongly agree,NA,40-49 years old,White
Male,High School,Yes,"$90,000 ~ $129,999",NA,NA,About right,About right,NA,NA,NA,Catholic,Strongly disagree,Not important at all,NA,NA,70-79 years old,White
Female,Less than high school,Yes,"Under $10,000",NA,NA,Too little,Too little,NA,NA,NA,Christian,Disagree,NA,NA,NA,40-49 years old,Black
Female,Bachelors,Yes,"$60,000 ~ $89,999",Too little,Too little,NA,Too little,Too little,1,NA,Catholic,Agree,Not very important,Agree,NA,50-59 years old,White
Female,Bachelors,Yes,"$20,000 ~ $39,999",Too little,Too little,NA,Too little,Too much,1,Strongly disagree,None,Agree,NA,Strongly agree,NA,20-29 years old,White
Male,Bachelors,Yes,"$10,000 ~ $19,999",NA,NA,Too little,Too little,NA,NA,Strongly disagree,Other,Strongly agree,NA,Strongly agree,Yes,30-39 years old,White
Female,Graduate,Yes,"$60,000 ~ $89,999",NA,NA,Too little,Too little,NA,NA,Strongly disagree,Christian,Agree,NA,Strongly agree,Yes,40-49 years old,White
Male,Graduate,No,"$130,000 ~ $169,999",About right,About right,NA,About right,Too little,2,NA,Hinduism,Strongly agree,Fairly important,Strongly agree,NA,40-49 years old,Asian
Male,High School,Yes,"$20,000 ~ $39,999",NA,NA,Too little,About right,NA,NA,Disagree,None,Strongly agree,NA,Strongly agree,Yes,20-29 years old,White
Female,High School,Yes,"$10,000 ~ $19,999",NA,NA,About right,About right,NA,NA,NA,None,Disagree,Not important at all,NA,NA,60-69 years old,White
Female,High School,Yes,"$20,000 ~ $39,999",About right,Too much,NA,Too little,About right,2,NA,Christian,NA,NA,NA,NA,60-69 years old,White
NA,High School,Yes,Refused,NA,NA,Too little,Too little,NA,NA,NA,Christian,NA,NA,Neither,No,NA,Black
Female,Less than high school,Yes,"$10,000 ~ $19,999",Too little,NA,NA,Too little,NA,NA,NA,Christian,Disagree,Not important at all,Strongly disagree,NA,80-89 years old,White
Male,High School,Yes,NA,About right,Too much,NA,About right,Too little,1,Neither,Christian,Disagree,NA,Strongly disagree,NA,60-69 years old,White
Female,Bachelors,Yes,"$20,000 ~ $39,999",Too little,Too much,NA,Too little,Too little,1,Disagree,Christian,Disagree,NA,NA,NA,20-29 years old,White
Male,Less than high school,Yes,NA,Too little,About right,NA,About right,About right,1,NA,Christian,Neither,Not very important,Strongly agree,NA,50-59 years old,White
Male,High School,Yes,"$20,000 ~ $39,999",About right,Too much,NA,Too little,About right,2,Strongly agree,Catholic,Strongly disagree,NA,NA,NA,20-29 years old,White
Male,High School,Yes,"$20,000 ~ $39,999",NA,NA,About right,Too little,NA,NA,Agree,None,Neither,NA,Neither,Yes,50-59 years old,White
Other,High School,Yes,"$20,000 ~ $39,999",Too little,Too little,NA,About right,Too little,1,Neither,Catholic,Neither,NA,Agree,NA,30-39 years old,White
Female,High School,Yes,"$90,000 ~ $129,999",NA,NA,Too much,Too little,NA,NA,NA,None,Disagree,Not important at all,NA,NA,30-39 years old,White
Female,High School,Yes,"$10,000 ~ $19,999",NA,NA,Too little,Too little,NA,NA,NA,Christian,Strongly disagree,Fairly important,NA,NA,60-69 years old,White
Female,Bachelors,Yes,"$170,000 or over",NA,NA,Too little,Too little,NA,NA,Strongly agree,Christian,Strongly disagree,NA,Strongly disagree,No,40-49 years old,White
Male,High School,Yes,"$40,000 ~ $59,999",NA,NA,Too little,About right,NA,NA,NA,None,Strongly agree,Not important at all,Strongly agree,Yes,30-39 years old,White
Male,Associate College,Yes,"$20,000 ~ $39,999",Too little,Too much,NA,About right,About right,1,Neither,None,Agree,NA,NA,NA,50-59 years old,Other
Male,Less than high school,No,NA,Too much,Too little,NA,Too little,Too much,1,Agree,Christian,NA,NA,NA,NA,30-39 years old,White
Female,High School,Yes,"$40,000 ~ $59,999",Too little,Too much,NA,Too little,Too little,1,Strongly agree,Other,Neither,NA,Strongly agree,NA,40-49 years old,White
Male,High School,Yes,NA,NA,NA,About right,Too little,NA,NA,NA,NA,Strongly disagree,Not important at all,NA,NA,NA,White
Male,High School,Yes,"$20,000 ~ $39,999",About right,About right,NA,About right,About right,2,Agree,None,Neither,NA,Neither,NA,60-69 years old,White
Female,High School,Yes,"$20,000 ~ $39,999",Too much,About right,NA,About right,Too little,1,Neither,Christian,Strongly disagree,NA,Disagree,NA,50-59 years old,White
Male,High School,Yes,"$60,000 ~ $89,999",NA,NA,Too little,Too little,NA,NA,NA,None,Neither,Not important at all,NA,NA,40-49 years old,White
NA,Less than high school,NA,Refused,About right,About right,NA,About right,About right,1,NA,NA,NA,NA,NA,NA,NA,White
Male,High School,Yes,"Under $10,000",NA,NA,Too much,Too little,NA,NA,NA,Christian,Agree,Not important at all,Disagree,No,30-39 years old,White
Male,High School,Yes,"$20,000 ~ $39,999",Too much,Too little,NA,Too little,Too little,1,NA,None,Strongly disagree,NA,Strongly agree,NA,20-29 years old,White
Female,High School,Yes,"$20,000 ~ $39,999",NA,NA,Too little,Too little,NA,NA,NA,None,Disagree,Fairly important,Agree,Yes,60-69 years old,White
Female,High School,Yes,"$40,000 ~ $59,999",Too little,Too little,NA,Too little,Too little,1,Strongly disagree,Christian,Agree,NA,NA,NA,30-39 years old,White
Female,High School,Yes,"$20,000 ~ $39,999",About right,Too little,NA,About right,Too little,2,Neither,Christian,Strongly disagree,NA,Disagree,NA,80-89 years old,White
Female,High School,Yes,"Under $10,000",NA,NA,Too little,About right,NA,NA,NA,Christian,Disagree,Essential,Disagree,No,50-59 years old,White
Female,High School,Yes,"$40,000 ~ $59,999",NA,NA,Too little,Too little,NA,NA,NA,Christian,Neither,Not very important,Strongly agree,Yes,60-69 years old,White
Female,High School,Yes,"Under $10,000",About right,About right,NA,About right,Too little,2,Agree,Christian,Disagree,NA,NA,NA,50-59 years old,White
Female,High School,Yes,"$20,000 ~ $39,999",NA,NA,Too little,Too little,NA,NA,NA,None,Neither,NA,Strongly agree,Yes,60-69 years old,White
Female,Bachelors,Yes,"$60,000 ~ $89,999",NA,NA,Too much,About right,NA,NA,Strongly agree,Christian,Disagree,NA,Strongly disagree,No,30-39 years old,White
Female,High School,Yes,"$10,000 ~ $19,999",Too much,Too much,NA,Too little,Too little,1,NA,Christian,NA,NA,Strongly disagree,NA,30-39 years old,White
Female,Bachelors,Yes,"$20,000 ~ $39,999",NA,NA,Too little,Too little,NA,NA,Disagree,None,Strongly agree,NA,Strongly agree,Yes,50-59 years old,White
Female,High School,Yes,"$10,000 ~ $19,999",Too much,About right,NA,Too little,Too little,2,Strongly agree,Christian,Strongly disagree,NA,Strongly disagree,NA,60-69 years old,White
Male,Bachelors,Yes,"$90,000 ~ $129,999",NA,NA,Too much,About right,NA,NA,Agree,Christian,Disagree,NA,Neither,No,50-59 years old,White
Male,High School,Yes,Refused,About right,About right,NA,About right,Too little,1,Disagree,NA,Agree,NA,Agree,NA,60-69 years old,White
Female,High School,Yes,"$40,000 ~ $59,999",About right,Too much,NA,Too little,Too little,2,NA,Christian,Strongly disagree,Fairly important,Agree,NA,60-69 years old,White
Male,Bachelors,Yes,"Under $10,000",NA,NA,Too little,Too much,NA,NA,Strongly disagree,Other,NA,NA,Strongly agree,Yes,30-39 years old,Other
Female,Graduate,No,"$60,000 ~ $89,999",Too little,Too little,NA,Too little,Too little,1,Disagree,None,Agree,NA,Strongly agree,NA,30-39 years old,White
Male,Graduate,Yes,"$130,000 ~ $169,999",Too little,Too little,NA,About right,Too much,2,Strongly disagree,None,Strongly agree,NA,NA,NA,60-69 years old,White
Male,High School,Yes,"$40,000 ~ $59,999",NA,NA,Too little,Too little,NA,NA,Agree,None,Agree,NA,Agree,Yes,60-69 years old,White
Male,High School,Yes,NA,Too little,About right,NA,Too much,Too little,2,NA,None,NA,NA,Strongly agree,NA,20-29 years old,White
Female,High School,Yes,"Under $10,000",Too little,Too much,NA,Too little,Too little,1,Neither,Christian,Strongly agree,NA,Neither,NA,60-69 years old,White
Female,Bachelors,Yes,"$170,000 or over",Too little,Too much,NA,Too little,Too little,2,Neither,Christian,Disagree,NA,NA,NA,20-29 years old,White
Female,High School,Yes,"$90,000 ~ $129,999",NA,NA,Too little,Too little,NA,NA,NA,Christian,Neither,Fairly important,NA,NA,60-69 years old,White
Female,High School,Yes,"$40,000 ~ $59,999",NA,NA,Too little,Too little,NA,NA,NA,None,NA,NA,NA,NA,40-49 years old,White
Female,Bachelors,Yes,"$40,000 ~ $59,999",Too little,Too little,NA,About right,Too little,1,Neither,Catholic,NA,NA,NA,NA,40-49 years old,Hispanic
Female,High School,Yes,"Under $10,000",Too little,About right,NA,About right,About right,2,NA,Christian,NA,NA,NA,NA,50-59 years old,White
Female,High School,Yes,"Under $10,000",NA,NA,Too little,About right,NA,NA,NA,None,Neither,Not important at all,NA,NA,50-59 years old,White
Male,Less than high school,Yes,"$60,000 ~ $89,999",NA,NA,Too little,Too little,NA,NA,NA,Christian,Disagree,Not important at all,Neither,NA,40-49 years old,White
Female,High School,Yes,"$60,000 ~ $89,999",Too little,About right,NA,Too little,Too little,1,Neither,None,Agree,NA,NA,NA,30-39 years old,White
Male,Associate College,Yes,"$130,000 ~ $169,999",NA,NA,About right,About right,NA,NA,NA,None,Neither,Not important at all,Strongly agree,Yes,40-49 years old,White
Female,Graduate,Yes,"$130,000 ~ $169,999",NA,NA,Too little,About right,NA,NA,NA,Catholic,Strongly agree,Fairly important,NA,NA,30-39 years old,White
Female,High School,Yes,"$20,000 ~ $39,999",Too little,About right,NA,About right,Too little,1,Strongly disagree,Christian,Strongly agree,NA,Strongly agree,NA,50-59 years old,White
Female,Bachelors,Yes,"$60,000 ~ $89,999",NA,NA,About right,About right,NA,NA,NA,Christian,Disagree,NA,Neither,No,40-49 years old,White
Female,Bachelors,No,"$60,000 ~ $89,999",NA,NA,Too much,About right,NA,NA,Disagree,Christian,Strongly disagree,NA,Neither,No,20-29 years old,White
Male,High School,Yes,"$90,000 ~ $129,999",Too much,Too much,NA,Too little,Too much,1,Agree,None,Neither,NA,Disagree,NA,50-59 years old,White
Male,High School,Yes,"$10,000 ~ $19,999",Too little,About right,NA,Too little,Too much,1,Disagree,Catholic,Disagree,NA,NA,NA,20-29 years old,Other
Female,High School,No,"$60,000 ~ $89,999",NA,NA,Too little,About right,NA,NA,NA,None,NA,NA,NA,NA,NA,Asian
Female,Associate College,Yes,"Under $10,000",About right,About right,NA,About right,About right,1,Disagree,None,Neither,NA,Strongly agree,NA,20-29 years old,Other
Female,High School,Yes,"$10,000 ~ $19,999",Too little,Too little,NA,Too little,Too little,2,Neither,Catholic,Neither,NA,NA,NA,50-59 years old,Black
Male,High School,Yes,"$40,000 ~ $59,999",About right,About right,NA,About right,About right,2,Agree,Catholic,NA,NA,Agree,NA,50-59 years old,NA
Male,Less than high school,Yes,NA,NA,NA,Too little,About right,NA,NA,NA,Christian,Strongly disagree,Very important,NA,NA,30-39 years old,American Native
Female,Less than high school,Yes,"Under $10,000",NA,About right,NA,Too little,Too little,1,Agree,None,Disagree,NA,Strongly agree,NA,40-49 years old,Other
Male,Bachelors,Yes,"$90,000 ~ $129,999",Too little,Too little,NA,About right,About right,1,NA,None,Agree,Fairly important,Strongly agree,NA,70-79 years old,White
Female,High School,Yes,"$60,000 ~ $89,999",About right,About right,NA,About right,About right,2,Neither,Christian,Neither,NA,Agree,NA,60-69 years old,White
Male,High School,Yes,"$60,000 ~ $89,999",Too little,About right,NA,Too little,Too little,1,Disagree,Christian,Disagree,NA,NA,NA,50-59 years old,Black
Male,High School,Yes,"Under $10,000",Too little,Too little,NA,Too little,Too little,1,Agree,Christian,Disagree,NA,Agree,NA,60-69 years old,Black
Female,High School,Yes,"$10,000 ~ $19,999",Too little,Too little,NA,Too little,Too little,1,Disagree,Catholic,Strongly disagree,NA,Neither,NA,30-39 years old,Black
Male,Bachelors,Yes,"$60,000 ~ $89,999",NA,NA,About right,Too little,NA,NA,Neither,Catholic,Agree,NA,Strongly agree,Yes,40-49 years old,White
Female,High School,Yes,"$60,000 ~ $89,999",About right,Too much,NA,About right,Too little,2,NA,Catholic,Neither,Not very important,Disagree,NA,70-79 years old,White
Female,High School,Yes,"$60,000 ~ $89,999",Too much,Too much,NA,About right,Too little,1,NA,Catholic,Neither,Not very important,Strongly disagree,NA,60-69 years old,White
Female,High School,Yes,"$20,000 ~ $39,999",NA,NA,Too little,Too little,NA,NA,NA,Catholic,Strongly disagree,Very important,Agree,No,60-69 years old,White
Female,Bachelors,Yes,"$90,000 ~ $129,999",NA,NA,Too little,Too little,NA,NA,Disagree,Catholic,Neither,NA,Strongly agree,Yes,30-39 years old,White
NA,Less than high school,NA,Refused,NA,NA,Too little,Too little,NA,NA,NA,NA,NA,NA,Strongly agree,No,NA,Black
Female,Bachelors,Yes,"$60,000 ~ $89,999",NA,NA,Too little,Too little,NA,NA,NA,Christian,Disagree,Essential,NA,NA,70-79 years old,White
Male,High School,Yes,"$60,000 ~ $89,999",Too much,About right,NA,Too little,Too little,2,Strongly agree,None,Strongly agree,NA,NA,NA,70-79 years old,White
Male,High School,Yes,"Under $10,000",About right,About right,NA,Too little,About right,2,Strongly agree,Christian,Disagree,NA,Neither,NA,20-29 years old,Black
Male,Bachelors,Yes,"$90,000 ~ $129,999",Too little,About right,NA,About right,Too little,2,Agree,Christian,Strongly disagree,NA,NA,NA,60-69 years old,Black
Male,High School,Yes,"$170,000 or over",NA,NA,Too little,Too little,NA,NA,Agree,Catholic,Agree,NA,Strongly disagree,Yes,50-59 years old,White
Female,Bachelors,Yes,NA,NA,NA,Too little,Too little,NA,NA,NA,None,Strongly agree,NA,Strongly agree,Yes,20-29 years old,Other
Female,High School,Yes,"Under $10,000",About right,Too much,NA,Too little,About right,1,Neither,Catholic,NA,NA,NA,NA,20-29 years old,White
Female,Associate College,Yes,"$40,000 ~ $59,999",NA,NA,Too little,Too little,NA,NA,NA,Jewish,Neither,Not important at all,NA,NA,30-39 years old,White
Female,Less than high school,Yes,"Under $10,000",NA,NA,Too little,Too little,NA,NA,NA,NA,Strongly disagree,Essential,NA,NA,40-49 years old,Black
NA,Less than high school,NA,Refused,Too much,Too much,NA,Too little,Too little,1,NA,NA,NA,NA,NA,NA,NA,White
Female,Less than high school,Yes,"Under $10,000",NA,NA,Too little,Too little,NA,NA,NA,None,Strongly disagree,Fairly important,NA,NA,30-39 years old,Black
Male,High School,Yes,"$60,000 ~ $89,999",Too much,Too much,NA,About right,Too little,1,NA,Christian,Neither,NA,NA,NA,30-39 years old,White
Male,Graduate,Yes,"$170,000 or over",About right,About right,NA,About right,About right,1,NA,Christian,Strongly disagree,Not very important,Agree,NA,50-59 years old,Other
Female,High School,Yes,"$170,000 or over",NA,NA,Too little,Too little,NA,NA,NA,Christian,Disagree,Not important at all,NA,NA,50-59 years old,Other
Female,Bachelors,Yes,"$170,000 or over",Too much,Too much,NA,About right,About right,2,Agree,Christian,Strongly disagree,NA,NA,NA,50-59 years old,White
Female,Less than high school,Yes,"$10,000 ~ $19,999",Too much,Too much,NA,Too little,Too little,1,Neither,None,Neither,NA,NA,NA,50-59 years old,White
Female,Bachelors,No,NA,Too much,Too much,NA,Too little,Too little,1,NA,Christian,NA,NA,NA,NA,50-59 years old,White
Female,Bachelors,Yes,"$90,000 ~ $129,999",About right,Too much,NA,About right,About right,2,NA,Christian,Disagree,Not very important,Neither,NA,NA,White
Female,High School,Yes,NA,About right,About right,NA,About right,Too little,1,Agree,Christian,Strongly disagree,NA,NA,NA,30-39 years old,White
Male,Graduate,Yes,"$170,000 or over",NA,NA,Too much,About right,NA,NA,Disagree,Christian,Strongly disagree,NA,Strongly disagree,No,60-69 years old,American Native
Male,High School,Yes,"$10,000 ~ $19,999",NA,NA,Too little,Too little,NA,NA,Agree,Christian,Disagree,NA,Agree,Yes,50-59 years old,Other
Male,Graduate,Yes,"$90,000 ~ $129,999",NA,NA,Too little,Too little,NA,NA,Neither,Christian,Disagree,NA,Strongly agree,No,50-59 years old,Other
Female,Bachelors,Yes,"$60,000 ~ $89,999",NA,NA,Too little,Too little,NA,NA,NA,None,Neither,Not important at all,NA,NA,50-59 years old,White
Male,High School,Yes,"$20,000 ~ $39,999",Too little,Too much,NA,Too little,Too little,1,Agree,Catholic,Disagree,NA,NA,NA,50-59 years old,Hispanic
Female,Associate College,Yes,"$10,000 ~ $19,999",Too little,Too little,NA,Too little,About right,2,Strongly disagree,Christian,Disagree,NA,Strongly agree,NA,30-39 years old,Other
Male,High School,Yes,"$20,000 ~ $39,999",About right,About right,NA,About right,About right,1,NA,Christian,NA,NA,NA,NA,70-79 years old,White
Male,NA,NA,"$20,000 ~ $39,999",Too little,Too much,NA,About right,Too little,1,Strongly disagree,Catholic,Disagree,NA,NA,NA,40-49 years old,Hispanic
Female,Bachelors,Yes,"$60,000 ~ $89,999",NA,NA,Too little,About right,NA,NA,Disagree,None,Strongly agree,NA,Strongly agree,Yes,30-39 years old,White
Male,Less than high school,Yes,"$10,000 ~ $19,999",NA,NA,Too little,About right,NA,NA,Disagree,Christian,Strongly disagree,NA,Strongly disagree,No,60-69 years old,Black
Female,Less than high school,Yes,NA,NA,NA,Too little,Too little,NA,NA,NA,Catholic,Disagree,Fairly important,Agree,Yes,40-49 years old,White
Female,Bachelors,Yes,"$20,000 ~ $39,999",NA,NA,Too little,Too little,NA,NA,Strongly agree,Christian,Disagree,NA,Strongly disagree,No,30-39 years old,Black
Female,Graduate,No,NA,Too little,About right,NA,About right,Too little,1,Agree,Catholic,Disagree,NA,NA,NA,NA,White
Female,Bachelors,Yes,"$40,000 ~ $59,999",NA,NA,Too little,Too little,NA,NA,NA,None,Strongly agree,Essential,NA,NA,20-29 years old,White
Female,High School,Yes,"$90,000 ~ $129,999",Too much,Too much,NA,Too little,Too little,1,Neither,Christian,Neither,NA,Strongly agree,NA,30-39 years old,White
Female,High School,Yes,"$60,000 ~ $89,999",Too little,Too little,NA,Too little,Too little,1,NA,Christian,Disagree,Not important at all,Agree,NA,50-59 years old,White
Female,Associate College,Yes,"$10,000 ~ $19,999",NA,NA,Too little,Too little,NA,NA,Agree,Christian,Disagree,NA,Neither,No,30-39 years old,White
Male,High School,Yes,"$40,000 ~ $59,999",Too little,Too little,NA,Too little,About right,1,NA,None,Agree,Fairly important,Strongly agree,NA,40-49 years old,White
Male,High School,Yes,"$10,000 ~ $19,999",NA,NA,Too little,Too little,NA,NA,NA,Christian,Agree,Not important at all,NA,NA,50-59 years old,White
Male,Bachelors,Yes,"$40,000 ~ $59,999",NA,NA,Too little,Too much,NA,NA,NA,Christian,Neither,Not very important,NA,NA,70-79 years old,White
Female,High School,Yes,NA,Too much,Too much,NA,Too little,Too little,1,Strongly agree,Christian,Neither,NA,Agree,NA,20-29 years old,Other
Female,Bachelors,Yes,"$130,000 ~ $169,999",NA,NA,Too little,Too little,NA,NA,NA,Christian,Disagree,NA,NA,NA,NA,White
Female,Associate College,Yes,"Under $10,000",Too little,Too much,NA,Too little,About right,2,Strongly agree,Christian,Disagree,NA,NA,NA,50-59 years old,Other
Male,Bachelors,Yes,"$170,000 or over",NA,NA,Too little,About right,NA,NA,Strongly disagree,None,Strongly agree,NA,Strongly agree,Yes,50-59 years old,White
Female,Bachelors,Yes,"$20,000 ~ $39,999",NA,NA,Too little,About right,NA,NA,NA,Christian,Disagree,Not important at all,NA,NA,70-79 years old,White
Female,Bachelors,Yes,"$60,000 ~ $89,999",NA,NA,Too little,Too little,NA,NA,NA,Christian,Neither,Not important at all,Strongly agree,Yes,50-59 years old,White
Female,Bachelors,Yes,"$40,000 ~ $59,999",Too little,About right,NA,About right,Too little,1,NA,Christian,Disagree,Not very important,Strongly agree,NA,70-79 years old,White
Female,Bachelors,Yes,"$90,000 ~ $129,999",NA,NA,Too much,Too much,NA,NA,NA,Christian,Disagree,Fairly important,Neither,No,20-29 years old,White
Female,Graduate,Yes,"$90,000 ~ $129,999",Too little,About right,NA,Too little,Too little,1,Agree,Christian,Disagree,NA,NA,NA,50-59 years old,White
Female,High School,Yes,"$130,000 ~ $169,999",Too little,Too little,NA,Too little,Too little,1,Neither,Christian,Strongly disagree,NA,Agree,NA,50-59 years old,White
Male,Graduate,Yes,"$170,000 or over",NA,NA,About right,About right,NA,NA,NA,Christian,Strongly disagree,Not important at all,NA,NA,60-69 years old,White
Male,Bachelors,Yes,"$170,000 or over",NA,NA,Too little,About right,NA,NA,NA,Jewish,Agree,Not very important,Strongly agree,Yes,60-69 years old,White
Male,Bachelors,No,"$10,000 ~ $19,999",Too much,Too much,NA,Too little,Too little,1,NA,Christian,Strongly agree,Not important at all,Strongly agree,NA,30-39 years old,White
Female,High School,Yes,"$130,000 ~ $169,999",Too much,Too much,NA,About right,Too little,1,NA,None,NA,NA,NA,NA,40-49 years old,White
Female,Bachelors,Yes,"$130,000 ~ $169,999",NA,NA,About right,Too little,NA,NA,NA,Christian,Disagree,Not important at all,Strongly agree,Yes,30-39 years old,White
Female,Graduate,Yes,"$90,000 ~ $129,999",NA,NA,Too little,About right,NA,NA,NA,Catholic,Disagree,Very important,Neither,No,70-79 years old,White
Female,High School,Yes,"$20,000 ~ $39,999",NA,NA,Too little,Too little,NA,NA,NA,Christian,NA,Not very important,NA,NA,NA,White
Male,High School,Yes,"$60,000 ~ $89,999",About right,About right,NA,About right,Too much,2,NA,Catholic,NA,Not important at all,Disagree,NA,60-69 years old,White
Female,Graduate,Yes,"$130,000 ~ $169,999",NA,NA,Too little,About right,NA,NA,Neither,Christian,Disagree,NA,Strongly agree,Yes,30-39 years old,White
Female,Associate College,Yes,"$10,000 ~ $19,999",NA,NA,Too little,Too little,NA,NA,NA,Christian,Strongly disagree,Fairly important,NA,NA,30-39 years old,Black
Male,High School,Yes,"$60,000 ~ $89,999",NA,NA,Too little,Too little,NA,NA,NA,Other,Strongly disagree,Not important at all,NA,NA,NA,Other
Female,Bachelors,Yes,"$20,000 ~ $39,999",Too little,About right,NA,About right,Too little,2,Neither,Christian,Disagree,NA,Strongly agree,NA,20-29 years old,Black
Male,Associate College,Yes,"$130,000 ~ $169,999",NA,NA,Too much,Too little,NA,NA,NA,Christian,NA,Not very important,NA,NA,80-89 years old,Other
Female,Associate College,Yes,"$40,000 ~ $59,999",Too much,About right,NA,About right,Too little,2,Agree,Christian,Neither,NA,Strongly agree,NA,30-39 years old,White
Female,Bachelors,Yes,"$60,000 ~ $89,999",NA,NA,Too little,About right,NA,NA,NA,Catholic,Disagree,Fairly important,Neither,No,60-69 years old,White
Male,High School,Yes,"$10,000 ~ $19,999",NA,NA,About right,Too little,NA,NA,Strongly agree,Christian,NA,NA,Strongly disagree,No,60-69 years old,White
Female,High School,Yes,NA,About right,Too little,NA,About right,About right,2,NA,Christian,Disagree,Not important at all,Strongly disagree,NA,80-89 years old,White
Female,Graduate,Yes,"$20,000 ~ $39,999",Too much,Too much,NA,Too little,Too little,3,NA,None,Strongly disagree,Not very important,Strongly disagree,NA,40-49 years old,White
Female,High School,Yes,"$40,000 ~ $59,999",Too much,About right,NA,Too little,Too little,1,Neither,Christian,Strongly disagree,NA,NA,NA,NA,White
NA,Bachelors,NA,Refused,Too much,Too much,NA,About right,Too little,3,NA,None,NA,NA,NA,NA,NA,White
Male,Bachelors,Yes,"$20,000 ~ $39,999",NA,NA,Too little,Too little,NA,NA,NA,Christian,Strongly disagree,Essential,Neither,No,70-79 years old,White
Female,Graduate,Yes,"$40,000 ~ $59,999",NA,NA,About right,Too little,NA,NA,Agree,Catholic,Disagree,NA,Strongly agree,No,60-69 years old,White
Male,Graduate,Yes,"$10,000 ~ $19,999",NA,NA,About right,About right,NA,NA,NA,Christian,Disagree,Not very important,Strongly disagree,No,40-49 years old,White
Female,Bachelors,Yes,"$130,000 ~ $169,999",Too little,Too little,NA,About right,About right,1,NA,Christian,Neither,Very important,Strongly agree,NA,40-49 years old,White
Male,Bachelors,Yes,"$40,000 ~ $59,999",NA,NA,About right,About right,NA,NA,NA,Christian,Disagree,Not very important,Agree,No,30-39 years old,White
Male,High School,Yes,"$90,000 ~ $129,999",NA,NA,Too little,Too little,NA,NA,NA,Catholic,Neither,Not important at all,NA,NA,60-69 years old,White
Male,Graduate,No,"$170,000 or over",Too much,Too much,NA,Too little,Too little,1,Neither,Christian,Strongly disagree,NA,Neither,NA,50-59 years old,White
Male,High School,Yes,"$170,000 or over",About right,Too little,NA,Too little,Too little,1,Strongly agree,Christian,Disagree,NA,Agree,NA,50-59 years old,Other
Female,High School,Yes,NA,Too little,Too much,NA,Too little,Too little,1,Strongly agree,Christian,Neither,NA,Strongly agree,NA,30-39 years old,White
Female,Graduate,Yes,"$130,000 ~ $169,999",About right,About right,NA,About right,Too little,2,NA,Catholic,Disagree,Fairly important,Agree,NA,70-79 years old,White
Female,High School,Yes,"$90,000 ~ $129,999",Too little,Too little,NA,Too little,Too little,1,NA,None,Strongly agree,Not very important,Strongly agree,NA,30-39 years old,Other
Female,Associate College,No,"$20,000 ~ $39,999",NA,NA,Too little,Too little,NA,NA,NA,None,Agree,Fairly important,NA,NA,50-59 years old,Black
Male,Bachelors,Yes,"$130,000 ~ $169,999",NA,NA,About right,About right,NA,NA,NA,Christian,Disagree,Not important at all,NA,NA,30-39 years old,White
Male,High School,Yes,"$20,000 ~ $39,999",Too little,Too little,NA,Too little,Too little,2,Agree,Christian,Disagree,NA,Agree,NA,70-79 years old,White
Female,Bachelors,Yes,"$90,000 ~ $129,999",About right,Too much,NA,Too little,Too little,2,Neither,Christian,NA,NA,Neither,NA,50-59 years old,White
Female,High School,Yes,"$40,000 ~ $59,999",NA,Too little,NA,Too little,Too little,1,Disagree,Christian,Disagree,NA,Agree,NA,70-79 years old,White
Female,High School,Yes,"$60,000 ~ $89,999",NA,NA,About right,Too little,NA,NA,NA,Catholic,Neither,Not important at all,Neither,No,30-39 years old,White
Male,High School,Yes,"$40,000 ~ $59,999",NA,NA,About right,About right,NA,NA,NA,None,Neither,Not important at all,NA,NA,20-29 years old,White
Female,High School,Yes,NA,Too little,About right,NA,About right,Too little,1,NA,None,NA,NA,Strongly agree,NA,20-29 years old,White
Female,Less than high school,No,"$90,000 ~ $129,999",Too much,Too much,NA,About right,Too little,2,Agree,Christian,Disagree,NA,NA,NA,50-59 years old,White
Male,Bachelors,No,"$90,000 ~ $129,999",Too little,About right,NA,Too little,About right,2,Disagree,Catholic,Neither,NA,Strongly agree,NA,20-29 years old,White
Female,Associate College,Yes,"$20,000 ~ $39,999",NA,NA,Too little,Too little,NA,NA,NA,Christian,Disagree,Essential,Strongly disagree,No,30-39 years old,Black
Male,High School,Yes,"$60,000 ~ $89,999",NA,NA,About right,Too little,NA,NA,NA,None,Neither,Not important at all,NA,NA,30-39 years old,White
Male,Associate College,Yes,"$130,000 ~ $169,999",NA,NA,About right,Too little,NA,NA,NA,None,Neither,Not very important,Neither,No,40-49 years old,White
Male,High School,Yes,NA,Too little,Too little,NA,Too little,Too little,1,Neither,Christian,Disagree,NA,Strongly disagree,NA,60-69 years old,White
Female,Bachelors,Yes,"$60,000 ~ $89,999",Too little,Too little,NA,Too little,Too little,1,Neither,None,Neither,NA,NA,NA,60-69 years old,White
